modal,regiao,endereco_retirada,data_hora
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-16 13:34:38.779
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-17 12:00:32.663
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-17 12:11:20.621
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-17 13:15:51.350
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-17 14:12:56.318
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-19 09:11:11.173
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-19 09:11:45.054
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-20 17:53:34.788
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-20 18:01:11.556
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-21 18:59:20.067
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-21 23:31:02.515
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-05-22 12:41:28.953
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-22 16:20:12.799
BICYCLE,NOVA IGUACU,"Rua Coronel Júlio Braga, 658, casa 2- areia branca, Belford Roxo - RJ, 658, Areia Branca, BELFORD ROXO, Brazil",2020-05-22 16:48:32.961
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-22 20:18:47.831
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-22 20:24:15.486
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-23 19:08:47.748
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-23 19:52:04.179
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-27 22:59:29.143
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-05-28 00:07:30.254
