artista,musica,tempo,data
Pineapple StormTv,"Poetas no Topo 3.3, Pt. 1",1534,2021-02-07 16:29:00
MV Bill,Estilo Vagabundo,5641,2021-02-07 16:29:00
ADL,Favela Vive 2,14610,2021-02-07 16:29:00
L7NNON,Ninguém (feat. MV BILL),202083,2021-02-07 16:33:00
Pineapple StormTv,"Poetas no Topo 3.3, Pt. 2",179182,2021-02-07 16:36:00
Fleezus,City Runners (feat. Kyan),166474,2021-02-07 16:38:00
LEALL,"Os Pitbull do Ano, Pt. 2",28017,2021-02-07 16:39:00
SD9,40°.40,114565,2021-02-07 16:41:00
Kyan,Chefin,3045,2021-02-07 16:41:00
VND,7 Balas / Dono da Rua,2497,2021-02-07 16:41:00
Flacko,Ai Calica,2188,2021-02-07 16:41:00
Fleezus,Revolta,196986,2021-02-07 16:44:00
LEALL,Criminal Influencer,115078,2021-02-07 16:46:00
KBrum,Voltei!,1030,2021-02-07 16:46:00
ABRONCA,Pras Bandidas,2637,2021-02-07 16:46:00
Elicê,Fazendo o Sinal,1876,2021-02-07 16:46:00
Thxuzz,Sosa Jr,20571,2021-02-07 17:03:00
Thxuzz,Sosa Jr,3671,2021-02-13 14:23:00
Thxuzz,Sosa Jr,5479,2021-02-13 14:23:00
Flacko,Ódio Puro da Polícia,4506,2021-02-13 14:24:00
Eloy Polemico,Ouro de Tolo,254214,2021-02-13 14:28:00
BK,Top Boys,193834,2021-02-16 19:10:00
Recayd Mob,Flack Jack,47,2021-02-16 19:11:00
Djonga,Vazio,3184,2021-02-16 19:11:00
Sain,Pronto,156,2021-02-16 19:11:00
Djonga,Lupa,1625,2021-02-16 19:11:00
Tober KGL,Inglória,61292,2021-02-16 19:11:00
BK,Almas,0,2021-02-16 19:11:00
BK,Almas,1997,2021-02-16 19:11:00
Recayd Mob,Plaqtudum,1652,2021-02-16 19:11:00
Kayuá,Contatos,3503,2021-02-16 19:11:00
Baco Exu do Blues,Esú,5353,2021-02-16 19:11:00
Coruja Bc1,Nóiz Memo,3169,2021-02-16 19:11:00
Pirâmide Perdida,Dispiei,1294,2021-02-16 19:11:00
Lil Fire 666,"Vida Loka, Pt.4",3590,2021-02-16 19:11:00
Lil Fire 666,"Vida Loka, Pt.4",290,2021-02-16 19:11:00
Recayd Mob,ÓhUhLança,0,2021-02-16 19:12:00
Akira Presidente,Fa7her (Remix),0,2021-02-16 19:12:00
Sain,Eu Sei Bem,0,2021-02-16 19:12:00
Nill,Loopers,1100,2021-02-16 19:12:00
MC Igu,Doko,4375,2021-02-16 19:12:00
Djonga,Esquimó,0,2021-02-16 19:12:00
Froid,Autoestima em Dó,0,2021-02-16 19:12:00
Luccas Carlos,Te Observando,1148,2021-02-16 19:12:00
Froid,Flow de Lázaro,157846,2021-02-16 19:14:00
Matuê,Celine,232,2021-02-16 19:15:00
BK,Take Your Little Vision,12005,2021-02-16 19:15:00
Rincon Sapiência,Linhas de Soco,3916,2021-02-16 19:15:00
Luccas Carlos,Fala,4454,2021-02-16 19:15:00
Baco Exu do Blues,Abre Caminho,2693,2021-02-16 19:15:00
Don L,Laje das Ilusões,1023,2021-02-16 19:15:00
Sain,Prato do Dia,2380,2021-02-16 19:15:00
Rincon Sapiência,Linhas de Soco,251726,2021-02-16 19:19:00
Baco Exu do Blues,Abre Caminho,39996,2021-02-16 19:31:00
WC no Beat,Trabalho Lindo,233,2021-02-19 21:29:00
Baco Exu do Blues,Abre Caminho,5897,2021-02-19 21:29:00
KK,1Nojo,3037,2021-02-19 21:30:00
Baco Exu do Blues,Tropicália,6007,2021-02-19 21:30:00
Akira Presidente,$$$$$$$,5560,2021-02-19 21:30:00
MC Igu,De Dust,2662,2021-02-19 21:30:00
Matuê,H. O. R. T. A,5845,2021-02-19 21:30:00
BK,Adeus,4408,2021-02-19 21:30:00
Nill,Wifi,4672,2021-02-19 21:30:00
MC Igu,Pharaoh,2788,2021-02-19 21:30:00
Matuê,Lama no Copo,2536,2021-02-19 21:30:00
Akira Presidente,Melhoria Gang,1657,2021-02-19 21:30:00
Don L,Beira de Piscina (Remix),5370,2021-02-19 21:30:00
BK,Castelos & Ruínas,249490,2021-02-19 21:34:00
Akira Presidente,Contas Pra Pagar,1014,2021-02-19 21:41:00
Makalister,Poetas no Topo 1,458,2021-02-19 21:41:00
MOB79,Atleta do Ano - Remix,390545,2021-02-19 21:41:00
Mr Break,Funeral Rmx,17244,2021-02-19 21:41:00
Baco Exu do Blues,Sujismundo,3287,2021-02-19 21:41:00
BK,Folhas,2786,2021-02-19 21:42:00
Mãolee,Dinheiro,1247,2021-02-19 21:42:00
Matuê,Urubus,2813,2021-02-19 21:42:00
Diomedes Chinaski,O Aprendiz,3457,2021-02-19 21:42:00
Pineapple StormTv,Aulas e Palestras,100795,2021-02-19 21:44:00
Fleezus,City Runners (feat. Kyan),19252,2021-02-19 21:44:00
LEALL,Criminal Influencer,68322,2021-02-19 21:45:00
